,t_out,Energy_2,Energy_4,Energy_3,temperature:drybulb,Equip,Energy_5,Energy_1,light,occ
3057,26.1,5551.9746,5521.6987,3503.2922,21.997486,0.4377068,3590.1409,0.0,0.07140652,0.0
3058,26.1,5609.6094,5580.492,3537.6895,21.997467,0.4377068,3624.3933,0.0,0.07140652,0.098877065
3059,26.1,5607.403,5579.2534,3536.074,21.997435,0.4377068,3623.0605,0.0,0.07140652,0.098877065
3060,26.2,4909.4795,4881.054,3083.0884,21.997622,0.4377068,3154.6177,124.22075,0.07140652,0.098877065
3061,26.3,4585.8687,4555.2417,2854.025,21.999653,0.4377068,2926.43,5330.624,0.07140652,0.098877065
3062,26.4,4575.4053,4540.6567,2839.2598,21.999329,0.4377068,2917.6384,3877.781,0.07140652,0.098877065
3063,26.5,4514.274,4477.1235,2793.0654,21.99892,0.4377068,2876.5747,4870.831,0.07140652,0.098877065
3064,26.6,4980.12,4944.4224,3067.9727,21.998768,0.4377068,3147.4136,4839.4404,0.21421957,0.19775413
3065,26.7,4839.8164,4804.3633,2979.3652,21.998734,0.4377068,3059.4133,4895.7085,0.21421957,0.19775413
3066,26.7,4708.1606,4672.4155,2897.4248,21.998838,0.4377068,2978.9902,4745.2637,0.21421957,0.19775413
3067,26.7,4607.6147,4571.417,2835.1836,21.998919,0.4377068,2917.3142,4693.0146,0.21421957,0.19775413
3068,26.7,4529.814,4493.0864,2787.1357,21.998972,0.4377068,2869.0156,4649.282,0.21421957,0.19775413
3069,26.7,4465.0093,4428.551,2747.5234,21.999014,0.4377068,2828.712,4610.914,0.21421957,0.19775413
3070,26.7,6497.1943,6468.712,3954.948,21.99876,0.9848403,4023.4695,6966.608,0.64265865,0.93933207
3071,26.7,6377.1113,6348.4995,3882.3674,21.99755,0.9848403,3952.4226,6916.2,0.64265865,0.93933207
3072,26.316668,6180.949,6155.8643,3765.4397,21.997614,0.9848403,3838.4482,6802.21,0.64265865,0.93933207
3073,25.933332,6022.4766,5997.8267,3670.3706,21.99781,0.9848403,3744.9656,6701.9077,0.64265865,0.93933207
3074,25.55,5907.4106,5882.53,3601.988,21.997946,0.9848403,3676.4429,6613.5396,0.64265865,0.93933207
3075,25.166666,5806.244,5782.833,3541.7166,21.998035,0.9848403,3615.5852,6537.568,0.64265865,0.93933207
3076,24.783333,5717.789,5696.3857,3489.0408,21.99811,0.9848403,3561.9788,6469.582,0.64265865,0.93933207
3077,24.4,5637.926,5618.6104,3441.3955,21.998175,0.9848403,3513.3318,6406.6113,0.64265865,0.93933207
3078,24.4,5591.6255,5573.7876,3414.6365,21.998224,0.9848403,3486.0576,6356.2344,0.64265865,0.93933207
3079,24.4,5549.5254,5532.9507,3390.0962,21.998262,0.9848403,3461.022,6309.5845,0.64265865,0.93933207
3080,24.4,5509.832,5494.5303,3366.8115,21.998299,0.9848403,3437.262,6266.341,0.64265865,0.93933207
3081,24.4,5488.917,5464.6924,3348.8372,21.998327,0.9848403,3419.069,6226.047,0.64265865,0.93933207
3082,24.4,5459.587,5431.237,3328.3513,21.998348,0.9848403,3398.2336,6187.736,0.64265865,0.93933207
3083,24.4,5426.9907,5398.508,3308.2122,21.998373,0.9848403,3377.7744,6151.2373,0.64265865,0.93933207
3084,24.5,5410.2974,5381.0625,3297.5554,21.998396,0.9848403,3366.62,6125.604,0.64265865,0.93933207
3085,24.6,5395.8477,5365.547,3288.069,21.998419,0.9848403,3356.6777,6101.995,0.64265865,0.93933207
3086,24.7,5384.029,5351.6885,3279.9631,21.998438,0.9848403,3348.1204,6080.727,0.64265865,0.93933207
3087,24.8,5381.152,5345.347,3276.4014,21.998453,0.9848403,3343.988,6061.4395,0.64265865,0.93933207
3088,24.9,5381.5845,5341.347,3274.3274,21.998463,0.9848403,3341.344,6043.8643,0.64265865,0.93933207
